STD_YM,BLOCK_CD,X_COORD,Y_COORD,FLOW_POP_CNT_MON,FLOW_POP_CNT_TUS,FLOW_POP_CNT_WED,FLOW_POP_CNT_THU,FLOW_POP_CNT_FRI,FLOW_POP_CNT_SAT,FLOW_POP_CNT_SUN
202001,3.60306E+19,1000033.992,1662579.147,1.59,1.8,2.03,1.84,1.96,2.93,2.83
202001,3.60306E+19,1000033.992,1662679.147,1.52,1.61,1.47,1.55,1.57,1.54,1.59
202001,3.60306E+19,1000033.992,1663479.147,0.05,0.05,0.05,0.05,0.07,0.07,0.05
202001,3.60306E+19,1000033.992,1664829.147,6.36,6.94,6.89,7.36,6.96,6.11,4.68
202001,3.60306E+19,1000033.992,1664879.147,35.14,37.42,36.31,38.94,38.51,32.76,26.13
202001,3.60306E+19,1000033.992,1664929.147,20.36,21.97,21.93,24.02,22.28,20.89,17.98
202001,3.60306E+19,1000033.992,1664979.147,20.7,22.3,22.32,22.85,22.57,21.37,18.38
202001,3.60306E+19,1000033.992,1665079.147,16.07,17.39,17.34,17.96,16.85,18.01,16.62
202001,3.60306E+19,1000033.992,1665129.147,15.65,16.62,16.25,17.36,16.86,15.77,13.88
202001,3.60306E+19,1000033.992,1665179.147,0.51,0.53,0.53,0.57,0.62,0.65,0.55
202001,3.60304E+19,1000033.992,1665229.147,4.56,4.63,4.15,4.98,4.98,2.98,1.85
202001,3.60304E+19,1000033.992,1665329.147,19.58,21,20.64,21.98,21.14,20.01,18.13
202001,3.60304E+19,1000033.992,1665379.147,3.99,4.18,4.1,4.36,4.43,3.85,3.46
202001,3.60304E+19,1000033.992,1665429.147,0.44,0.46,0.42,0.48,0.48,0.35,0.28
202001,3.60304E+19,1000033.992,1665479.147,5.14,5.37,5.16,5.65,5.76,4.98,4.17
202001,3.60304E+19,1000033.992,1665529.147,20.36,21.21,20.09,22.37,22.21,16.78,13.9
202001,3.60304E+19,1000033.992,1665579.147,69.77,74.13,71.87,76.9,74.23,65.16,59.38
202001,3.60304E+19,1000033.992,1665629.147,75.86,81.46,77.64,83.93,80.27,68.87,60.18
202001,3.60304E+19,1000033.992,1665679.147,139.34,150.96,144.48,157.26,146.63,121.88,109.43
202001,3.60304E+19,1000033.992,1665729.147,65.64,71.07,69.5,74.62,69.82,61.64,58.15
202001,3.60304E+19,1000033.992,1665779.147,13.53,14.27,13.61,14.83,14.67,11.81,10.61
202001,3.60304E+19,1000033.992,1665829.147,3.88,4.2,4.1,4.33,4.26,4.06,3.83
202001,3.60304E+19,1000033.992,1665879.147,1.45,1.55,1.57,1.59,1.61,1.61,1.55
202001,3.60304E+19,1000033.992,1665929.147,1.04,1.15,1.11,1.15,1.13,1.2,1.06
202001,3.60304E+19,1000033.992,1665979.147,1.47,1.54,1.39,1.61,1.52,0.97,0.74
202001,3.60304E+19,1000033.992,1666029.147,0.94,0.97,0.92,1.02,0.97,0.74,0.58
202001,3.60304E+19,1000033.992,1666129.147,7.43,7.8,7.17,8.14,7.58,5.3,4.24
